,speaker_adj_promixity,partner_adj_promixity,speaker_other_promixity,partner_other_promixity_dict
0,2.382256563206681,2.382256563206681,7.196696503319245,2.012599005900668
1,1.590352962245177,1.590352962245177,6.404792902357741,1.5326612407343703
2,1.2142899089227939,1.2142899089227939,6.565098850613282,2.4465942767581197
3,2.087471324293759,2.087471324293759,7.438280265984247,1.868116654649242
4,4.680691871346369,4.680691871346369,7.254911033409542,4.698585107776054
5,4.950656508710978,4.950656508710978,7.524875670774151,5.043234675311723
6,3.9563691924923745,3.9563691924923745,7.011785817907409,3.5024381073303203
7,3.33827392347402,3.33827392347402,6.3936905488890545,2.8096930449374184
8,3.0482184513748507,3.0482184513748507,7.271782632561738,3.0603987409200357
9,2.833791006699215,2.833791006699215,7.0573551878861025,2.6986732488960428
10,5.965477921553571,5.965477921553571,6.6590611553559,6.321443952254711
11,9.964174662302298,9.964174662302298,10.657757896104627,6.156178146193255
12,9.362937556437657,9.362937556437657,10.20055831274334,5.612376515684474
13,6.437132664209457,6.437132664209457,7.27475342051514,5.111479907493276
14,5.733376728079691,5.733376728079691,6.749286577798188,5.192932944484113
15,4.858404482553695,4.858404482553695,5.874314332272192,4.837316960048767
16,9.032672163986376,9.032672163986376,6.399950978786066,9.965527621148865
17,9.354406270816042,9.354406270816042,6.721685085615732,9.452125604558091
18,7.2781275771511815,7.2781275771511815,6.563232792139345,6.918068133401263
19,9.286635461831011,9.286635461831011,8.571740676819175,7.420882447640551
20,11.397936361867366,11.397936361867366,7.906713112450689,8.769712801429321
21,8.882228887832085,8.882228887832085,5.3910056384154075,8.447558506934087
22,5.889022932696676,5.889022932696676,5.623475803256497,5.9216846336466205
23,5.106663820119493,5.106663820119493,4.841116690679314,6.426018958200146
24,6.203849468551468,6.203849468551468,5.367097503887848,7.573379273458386
25,8.151669872075502,8.151669872075502,7.314917907411882,7.045282649575512
26,5.500493683968116,5.500493683968116,8.394408375958406,4.103422324664095
27,6.0170385811253055,6.0170385811253055,8.910953273115595,4.645989579717835
28,8.469128535424744,8.469128535424744,8.780994402543897,6.911643162989975
29,6.928305471686471,6.928305471686471,7.240171338805624,6.73167371253939
30,5.509498132039752,5.509498132039752,6.776671532365583,5.965715259645421
31,5.036462768720938,5.036462768720938,6.303636169046769,6.140486924111727
32,5.871127135149763,5.871127135149763,5.6780896425078,6.35653429357167
33,7.877699882983066,7.877699882983066,7.684662390341103,5.890105086214618
34,10.089615242125362,10.089615242125362,9.057790950850716,8.476814760095493
35,7.385952061851455,7.385952061851455,6.3541277705768096,8.958077919769224
36,8.098749461284228,8.098749461284228,5.466383731949151,8.611794163583525
37,11.054223918596819,11.054223918596819,8.42185818926174,8.781558077122952
38,10.88233901772439,10.88233901772439,9.18769399303224,9.303887736868774
39,9.233632272744401,9.233632272744401,7.538987248052251,8.980980897357071
40,7.485035655245781,7.485035655245781,7.055592913083402,7.066960434093346
41,6.965769926005976,6.965769926005976,6.536327183843596,7.430080130823001
42,5.948228051293583,5.948228051293583,5.9409548123896485,6.711586140471269
43,5.864606212053545,5.864606212053545,5.85733297314961,6.582935674360186
44,7.5180144661281645,7.5180144661281645,5.865165050583485,7.7928205270142
45,9.331774177438803,9.331774177438803,7.678924761894123,8.087116183830105
46,7.172044519469608,7.172044519469608,8.975180611833153,5.333992143507743
47,6.59298672423499,6.59298672423499,8.396122816598535,5.769952500233089
48,6.294148305620283,6.294148305620283,8.467407429753365,5.652170085104288
49,5.722434426568043,5.722434426568043,7.895693550701125,5.26223864322192
50,5.8498698641833045,5.8498698641833045,7.093081742923928,5.558250276384541
51,7.098483665672717,7.098483665672717,8.34169554441334,6.2467744513919286
52,6.515438656405436,6.515438656405436,8.08347562349472,4.427983901366105
53,5.434752442729135,5.434752442729135,7.002789409818419,4.863340965828328
54,6.6878111058413765,6.6878111058413765,7.279601757195579,6.7777310421606245
55,6.749743432632485,6.749743432632485,7.341534083986687,6.44018608058974
56,7.664843896581573,7.664843896581573,7.432837776145874,6.884015113066383
57,8.671027283824543,8.671027283824543,8.439021163388844,7.112163426839871
58,11.025603370950847,11.025603370950847,7.84574130861391,10.00345410992199
59,6.309943390643852,6.309943390643852,3.1300813283069147,9.519762849700882
60,5.960917638503204,5.960917638503204,2.2145266987437253,9.532905817609944
61,10.623593127554855,10.623593127554855,6.877202187795376,9.756274624873555
62,7.808179523686846,7.808179523686846,7.704322159909921,5.897517046382205
63,4.193219651030063,4.193219651030063,4.089362287253138,6.474394650871133
64,6.0673786055672565,6.0673786055672565,4.787196251422785,8.215860233790522
65,7.3351309904328446,7.3351309904328446,6.054948636288373,8.912533852465486
66,5.831414867184833,5.831414867184833,4.683808145225981,7.542371547211431
67,3.157621968287515,3.157621968287515,2.0100152463286634,6.496231389573538
68,4.515384197127702,4.515384197127702,2.0230000996896536,8.511093579612464
69,9.870965678504007,9.870965678504007,7.3785815810659585,8.417710907689738
70,9.70592091531094,9.70592091531094,7.859854306108431,8.170286647477866
71,4.881333615603779,4.881333615603779,3.03526700640127,7.785233537264631
72,7.177321127326351,7.177321127326351,3.547926795907358,10.746688513525712
73,8.456371848510145,8.456371848510145,4.8269775170911515,10.603209218653092
74,4.584731043005661,4.584731043005661,4.1421732709318775,7.507226651207773
75,5.8549995060760835,5.8549995060760835,5.4124417340023,5.994044805034591
76,8.29474867491821,8.29474867491821,5.389929784241758,8.995298222267479
77,7.921879472110703,7.921879472110703,5.017060581434251,8.558931964027678
78,5.0266189329010444,5.0266189329010444,5.723504648118549,6.29343946177184
