,Mean Pitch,Max Pitch,Mean Intensity,Max Intensity,Jitter,Shimmer,NHR
4647,0.0001270892455203813,0.355944494065347,0.8298016840450629,0.24591357436189165,0.42013305810492785,0.7262584495580111,0.6982586682675664
4041,0.09164159551011104,0.1907333141683425,0.974242914106917,0.9718729114979259,0.004155041692159549,0.22689387166186886,0.11144786131032824
3435,0.004404183984201353,0.08424647421298546,0.7132717989187418,0.9583122239405895,0.136963619122524,0.38707222563941013,0.41597671043474826
4849,0.3817117218300319,0.19052642514053666,0.9923645080258425,0.5316456045726334,0.026437270039494087,0.6768990051007804,0.7720728440644078
4243,0.0252628504199221,0.8956588695049725,0.5617965124940016,0.8313919417059843,0.14441159708844242,0.0004447314784259089,0.08573782930577142
3637,0.7532167803919982,0.0004511258957126722,0.05313722810272407,3.110376623819306e-05,0.006997641997290621,0.08975541313755658,0.5410013813023594
3031,0.33484944015332574,0.037180908343686224,0.905777680561313,0.7864784936581668,5.24357868449963e-06,0.06241666209580309,0.04839483477033842
5051,2.65184946744194e-05,0.12462737468548904,3.84859318453973e-06,0.0004798669295106067,0.06489980980705246,0.0008986396249277849,4.995000481818575e-05
4445,0.2560944053000955,0.8771630068866881,0.005917123730208046,0.05615835543887961,0.0669620091386236,0.30891678881875057,0.021811544024428267
3839,0.0203731577936048,0.08671213699660112,0.8322681827950049,0.61674047953864,0.847615331693191,0.796040747814067,0.00013870458468602127
