,Mean Pitch,Max Pitch,Mean Intensity,Max Intensity,Jitter,Shimmer,NHR,dyad,speaker,session,sentence,duration(s),size(K),file_name
5152,88.57656916,276.2128906,66.90598909,75.09720887,0.021197013,0.066146466,15.9806615,6566,65,solo,3,3.98,343.28,SK0506_5_solo555_3_mono.wav
5153,102.0773697,284.016796,69.64939736,80.09488429,0.016718595,0.052041761,18.8119245,6566,65,solo,40,5.29,455.26,SK0506_5_solo555_40_mono.wav
5154,111.3133987,541.5146359,68.47995046,77.92529767,0.014594698,0.05726837,17.6456312,6566,65,solo,41,4.21,362.66,SK0506_5_solo555_41_mono.wav
5155,82.26988487,336.4731531,69.96857334,81.77812921,0.011491758,0.049461127,18.6360567,6566,65,solo,42,5.44,468.43,SK0506_5_solo555_42_mono.wav
5156,81.30673862,273.1838712,72.55591753,88.59245742,0.019446316,0.07286264,18.6890601,6566,65,solo,43,7.91,681.35,SK0506_5_solo555_43_mono.wav
5157,99.62954584,328.4409272,69.75218896,81.97862157,0.019348655,0.060476171,17.6365422,6566,65,solo,44,7.66,660.08,SK0506_5_solo555_44_mono.wav
5158,71.55831288,301.3607985,68.55361117,82.54175673,0.021102879,0.084284202,15.6611463,6566,65,solo,45,5.27,453.79,SK0506_5_solo555_45_mono.wav
5159,90.04647622,274.5538804,70.6830583,81.87144203,0.020602064,0.073380055,16.4534357,6566,65,solo,46,6.62,569.9,SK0506_5_solo555_46_mono.wav
5160,84.69455136,279.7897179,70.71808446,82.49068088,0.015694251,0.054118205,20.637931,6566,65,solo,47,6.04,519.94,SK0506_5_solo555_47_mono.wav
5161,95.66205432,481.5001613,68.52926497,78.0352652,0.02277494,0.071635473,15.1024679,6566,65,solo,48,4.62,398.06,SK0506_5_solo555_48_mono.wav
5162,97.35405852,285.2796101,67.64073569,79.61412574,0.020886509,0.073420816,14.6279008,6566,65,solo,49,5.67,488.59,SK0506_5_solo555_49_mono.wav
5163,104.4696515,506.5424295,69.31844812,78.94592384,0.017897524,0.057570848,17.4789861,6566,65,solo,4,5.38,463.52,SK0506_5_solo555_4_mono.wav
5164,77.65159079,297.8474037,70.68025712,85.90586671,0.015992802,0.066936446,18.9782377,6566,65,solo,50,5.06,435.88,SK0506_5_solo555_50_mono.wav
5165,115.8479569,327.21339,69.67793128,79.40729253,0.016664495,0.062751615,19.0293126,6566,65,solo,51,6.38,549.83,SK0506_5_solo555_51_mono.wav
5166,106.5015194,287.6314311,70.15081802,78.91308919,0.015525072,0.064898615,18.1643101,6566,65,solo,52,5.81,500.22,SK0506_5_solo555_52_mono.wav
5167,93.67134953,261.4275295,68.76563914,79.57187807,0.015525772,0.045539294,19.8266989,6566,65,solo,53,4.38,377.48,SK0506_5_solo555_53_mono.wav
5168,103.5243762,300.7477022,70.44208426,82.80333236,0.015118426,0.061385788,17.9712938,6566,65,solo,54,5.86,504.52,SK0506_5_solo555_54_mono.wav
5169,100.2165518,300.8512751,69.69190278,80.66243055,0.012280469,0.046457806,21.1245291,6566,65,solo,55,5.39,464.21,SK0506_5_solo555_55_mono.wav
5170,92.13985189,302.4333587,70.03070631,82.51038697,0.021039231,0.06010992,16.631614,6566,65,solo,56,6.02,518.91,SK0506_5_solo555_56_mono.wav
