,Mean Pitch,Mean Pitch(p),Max Pitch,Max Pitch(p),Mean Intensity,Mean Intensity(p),Max Intensity,Max Intensity(p),Jitter,Jitter(p),Shimmer,Shimmer(p),NHR,NHR(p)
3031,0.8733240322466344,0.6039740044495923,2.181222785966522,0.8684062765578591,-0.13757377585618472,0.567368940131886,0.05935033009163665,0.8618711112522126,4.176848861800662,0.0009913541588300165,2.3289940889049183,0.00022035055599637217,1.6483707117604647,0.007258167062869464
3031,0.8733240322466344,0.3851672390595926,2.181222785966522,0.032179463608375446,-0.13757377585618472,0.890931799567952,0.05935033009163665,0.9528248705336366,4.176848861800662,7.639043275296053e-05,2.3289940889049183,0.02244953585528902,1.6483707117604647,0.10329913125268878
3031,0.5208107478786659,0.6039740044495923,0.1662297655554051,0.8684062765578591,0.5743719708045277,0.567368940131886,-0.17456838938200667,0.8618711112522126,3.4223959555210497,0.0009913541588300165,3.8754563798711903,0.00022035055599637217,2.757161583458478,0.007258167062869464
3031,0.5208107478786659,0.3851672390595926,0.1662297655554051,0.032179463608375446,0.5743719708045277,0.890931799567952,-0.17456838938200667,0.9528248705336366,3.4223959555210497,7.639043275296053e-05,3.8754563798711903,0.02244953585528902,2.757161583458478,0.10329913125268878
3435,3.6701908571342483,0.00033668828801578204,1.2550071396905385,0.2476942193290979,-0.3325593463549582,0.509006897020292,0.03300693339619323,0.8579782243857235,1.8486333618420678,6.0563783268840785e-06,1.0936659663615513,0.29354146138856707,0.7149526137461256,0.08936168443855744
3435,3.6701908571342483,0.0004415794990925661,1.2550071396905385,0.21322336746379209,-0.3325593463549582,0.7403590585999282,0.03300693339619323,0.97375337631163,1.8486333618420678,0.06830031502945351,1.0936659663615513,0.277467578709463,0.7149526137461256,0.47677282213191885
3435,3.751055645828282,0.00033668828801578204,1.164690210539575,0.2476942193290979,-0.6634368773790578,0.509006897020292,0.17954137499972656,0.8579782243857235,4.855423187317958,6.0563783268840785e-06,1.057513593823347,0.29354146138856707,1.7201986454233418,0.08936168443855744
3435,3.751055645828282,0.0004415794990925661,1.164690210539575,0.21322336746379209,-0.6634368773790578,0.7403590585999282,0.17954137499972656,0.97375337631163,4.855423187317958,0.06830031502945351,1.057513593823347,0.277467578709463,1.7201986454233418,0.47677282213191885
3637,0.3073397688913997,0.056518711750795814,4.30931618835715,0.6778672253820741,2.803571309874422,0.042142084215680185,5.247125325215907,3.1363100407361243e-07,2.8876145617231797,0.0346795567106909,2.0802981673224283,0.15605532636682481,1.0341922748710723,0.6840220052319093
3637,0.3073397688913997,0.7594038595539994,4.30931618835715,4.7302715133620916e-05,2.803571309874422,0.006374504998574115,5.247125325215907,1.2932733989124326e-06,2.8876145617231797,0.005021008503787217,2.0802981673224283,0.04078178470286162,1.0341922748710723,0.30424213156742336
3637,1.9357754287838165,0.056518711750795814,0.41694045600100127,0.6778672253820741,2.066067250257521,0.042142084215680185,5.596036769291543,3.1363100407361243e-07,2.1496847528318592,0.0346795567106909,1.4322934402452387,0.15605532636682481,0.40850540442999284,0.6840220052319093
3637,1.9357754287838165,0.7594038595539994,0.41694045600100127,4.7302715133620916e-05,2.066067250257521,0.006374504998574115,5.596036769291543,1.2932733989124326e-06,2.1496847528318592,0.005021008503787217,1.4322934402452387,0.04078178470286162,0.40850540442999284,0.30424213156742336
3839,2.565387638265501,0.4730923148053119,1.7367311510418526,0.006576982915249071,0.5376344066822483,0.7256845516744415,0.5212101834731443,0.9977819569896272,0.03264034532385364,0.36858276154236247,0.05124576604891931,0.8849249969835753,3.8243993289500913,1.893535544825714e-05
3839,2.565387638265501,0.01222346738925724,1.7367311510418526,0.0863824599454487,0.5376344066822483,0.5923601153660922,0.5212101834731443,0.6036970567279443,0.03264034532385364,0.974044776284894,0.05124576604891931,0.9592606933619545,3.8243993289500913,0.00026248317903679227
3839,0.7209553905720596,0.4730923148053119,2.7924388503682533,0.006576982915249071,-0.35213781402933114,0.7256845516744415,0.0027888323235382285,0.9977819569896272,0.9043724706464356,0.36858276154236247,0.14520320931218267,0.8849249969835753,4.556599377951948,1.893535544825714e-05
3839,0.7209553905720596,0.01222346738925724,2.7924388503682533,0.0863824599454487,-0.35213781402933114,0.5923601153660922,0.0027888323235382285,0.6036970567279443,0.9043724706464356,0.974044776284894,0.14520320931218267,0.9592606933619545,4.556599377951948,0.00026248317903679227
4041,1.5864217945311456,0.23724022538027553,1.0074467353812464,0.900376049196244,0.47269470307506195,0.9147930315755131,-0.012928943540590139,0.8848327228719264,2.930363845037053,1.9608458819726837e-05,1.4847701745847586,0.008836884033304107,1.0684071252163452,0.15032309431697607
4041,1.5864217945311456,0.11668962192526494,1.0074467353812464,0.3168352585843194,0.47269470307506195,0.6377510210731672,-0.012928943540590139,0.9897174953445003,2.930363845037053,0.004439198316700666,1.4847701745847586,0.1416350052622,1.0684071252163452,0.28863234978454444
