,Mean Pitch,Max Pitch,Mean Intensity,Max Intensity,Jitter,Shimmer,NHR
4647,1.9875630847542027,2.988583235191494,0.4786014558379844,0.8934348822901985,0.9117794666181357,0.2637200778211903,-0.19665769014546844
4041,1.8990519520251639,0.8228944630301975,-0.3165171654168401,-0.3294860792799135,5.503237627577186,3.181254919165652,1.9682889525181546
3435,3.2207839291096576,1.133529722157652,0.2337851096983411,0.5147666106475249,4.855094252418311,1.6991925887237957,1.1516852588626678
4849,1.335459790422459,-0.07919706334715908,-0.14452498475599557,1.754115748905917,2.9366804518890675,0.051270312607450345,0.36544229462935124
4243,2.551121175989431,2.9682162624055057,0.04698652248925945,0.032196702774612444,0.6828535601644194,3.76051228699151,1.593023736280154
3637,1.1769383287484387,-0.06649423623013676,2.199597584387423,6.013471169753094,1.7889834829720712,0.9352025718035513,0.9234115204800765
3031,0.920378425933174,0.5627279462974261,-0.5478804426076409,0.5705888180486103,3.627557190751443,4.4867746824295285,2.589178321732422
5051,2.2738334604583024,4.300089478847286,4.722361194522424,5.250120358597956,1.6053876297204526,2.304894883094348,3.703156296732733
4445,1.5602112272374775,0.055601283129838114,15.418993343120931,6.932643223904016,2.9047867262911167,0.2686075913226122,2.883774432517743
3839,0.5589431857856736,2.7287425631006816,-0.010597207928804976,0.42148580528628893,1.2926045890371178,0.34738521755611895,4.629000317767718
