,File Name,Mean Pitch,Max Pitch,Mean Intensity,Max Intensity,Jitter,Shimmer,NHR,dyad,speaker,session,sentence,duration(s),size(K),file_name
0,d3031_30_imitation555_10_mono.wav,133.91125159175567,291.4677805928645,68.73060005952212,77.8632710869193,0.0131463692696849,0.0584269000119034,16.3589058,3031,30,imitation,10,5.16,444.63,d3031_30_imitation555_10_mono.wav
1,d3031_30_imitation555_11_mono.wav,125.61357535244107,299.5088723292269,69.67319160828706,79.81701546580513,0.0188059230924833,0.0676459703541527,15.7849505,3031,30,imitation,11,5.22,449.94,d3031_30_imitation555_11_mono.wav
2,d3031_30_imitation555_12_mono.wav,106.92228477346764,579.7594597843531,68.67610293352365,76.03865297467703,0.0165304965319445,0.0708293505581609,13.8351424,3031,30,imitation,12,6.44,554.92,d3031_30_imitation555_12_mono.wav
3,d3031_30_imitation555_13_mono.wav,146.25531339206938,348.45033578951336,68.20846678014547,73.63859074008279,0.0152229872395954,0.0640764001352707,15.3004922,3031,30,imitation,13,3.21,276.32,d3031_30_imitation555_13_mono.wav
4,d3031_30_imitation555_14_mono.wav,133.37394544637834,285.9642702883659,69.90774629613685,78.09461267532058,0.0167167515669626,0.065687718704211,17.7205022,3031,30,imitation,14,4.26,366.69,d3031_30_imitation555_14_mono.wav
5,d3031_30_imitation555_15_mono.wav,126.44484119537472,583.6262689192649,68.66551633250752,77.99391350190672,0.0154956931847253,0.0622488685487907,17.4596163,3031,30,imitation,15,5.01,431.26,d3031_30_imitation555_15_mono.wav
6,d3031_30_imitation555_16_mono.wav,132.52692897764211,511.9939200479621,68.7383889936915,77.67518356978596,0.0164331309696332,0.0672258589692495,15.8552144,3031,30,imitation,16,5.41,465.72,d3031_30_imitation555_16_mono.wav
7,d3031_30_imitation555_17_mono.wav,137.08982185020542,315.2584146090519,70.43312974866302,81.71762492182305,0.0142497849021572,0.0611995572167226,17.1046249,3031,30,imitation,17,6.07,522.7,d3031_30_imitation555_17_mono.wav
8,d3031_30_imitation555_18_mono.wav,129.40044810675653,289.0903437003654,69.94838272866711,79.16022790679304,0.0153215049662551,0.0605669131825053,16.45772,3031,30,imitation,18,5.86,504.7,d3031_30_imitation555_18_mono.wav
9,d3031_30_imitation555_19_mono.wav,125.23639007196545,309.3345232043743,67.37827205590304,73.97426775946295,0.0168354556196851,0.0678093779262502,14.1102173,3031,30,imitation,19,4.13,355.93,d3031_30_imitation555_19_mono.wav
10,d3031_30_imitation555_1_mono.wav,136.10054135917585,448.20787238998497,70.06024408496646,78.9908669467365,0.0142837150174506,0.0683760916524713,17.0082885,3031,30,imitation,1,5.03,433.04,d3031_30_imitation555_1_mono.wav
11,d3031_30_imitation555_20_mono.wav,119.98047699147152,288.8332026516479,68.93207311391672,75.93766800708552,0.0125836750977589,0.0639732274364053,14.8822613,3031,30,imitation,20,4.71,405.62,d3031_30_imitation555_20_mono.wav
12,d3031_30_imitation555_21_mono.wav,123.82554016662566,308.22010943279827,69.00510376095845,78.69210492336065,0.0166871036861517,0.0650213513282255,16.7236413,3031,30,imitation,21,3.72,320.34,d3031_30_imitation555_21_mono.wav
13,d3031_30_imitation555_22_mono.wav,111.7354889858296,294.2682663567267,68.97536546735748,78.68495280001461,0.0170701824772877,0.0621413933204197,16.0149313,3031,30,imitation,22,4.2,362.08,d3031_30_imitation555_22_mono.wav
14,d3031_30_imitation555_23_mono.wav,134.9295718145323,491.1470236543033,68.88772024578034,77.94385464013003,0.0137822034657827,0.0616162651270214,16.7931276,3031,30,imitation,23,6.86,591.1,d3031_30_imitation555_23_mono.wav
15,d3031_30_imitation555_24_mono.wav,151.41534560601602,326.1629819299028,69.41807156590465,76.41908575226255,0.0138056413068479,0.0587774991566566,17.3297013,3031,30,imitation,24,5.7,491.22,d3031_30_imitation555_24_mono.wav
16,d3031_30_imitation555_25_mono.wav,137.34166726689458,303.22042051625584,69.25039088925858,76.41449719343966,0.0145245505440171,0.0615025402321441,16.3204708,3031,30,imitation,25,5.03,433.62,d3031_30_imitation555_25_mono.wav
17,d3031_30_imitation555_26_mono.wav,122.80343162292304,288.6913103524149,69.99383502101438,79.38452405022635,0.0133235599254514,0.0562617247814107,17.3117259,3031,30,imitation,26,7.49,644.75,d3031_30_imitation555_26_mono.wav
18,d3031_30_imitation555_27_mono.wav,159.08104045635602,544.3751264896338,70.41554693572732,79.2076938877885,0.0149753175218702,0.0596629188479373,17.2320885,3031,30,imitation,27,6.19,532.82,d3031_30_imitation555_27_mono.wav
19,d3031_30_imitation555_28_mono.wav,145.54215676141496,317.0513061897726,68.36178232888032,76.37261711926914,0.0152915587945618,0.0686792983772117,14.4497991,3031,30,imitation,28,4.61,397.38,d3031_30_imitation555_28_mono.wav
20,d3031_30_imitation555_29_mono.wav,124.07623848245498,548.7181521246224,67.83078110551855,74.92607621068477,0.0148101253977866,0.057454527055502,16.4165642,3031,30,imitation,29,3.64,313.98,d3031_30_imitation555_29_mono.wav
21,d3031_30_imitation555_2_mono.wav,116.93004570341355,295.2326158665884,70.95361031596447,78.29649975624392,0.0162286682323346,0.0586885794351488,15.1153666,3031,30,imitation,2,4.46,383.9,d3031_30_imitation555_2_mono.wav
22,d3031_30_imitation555_30_mono.wav,118.5945282010397,305.52020472769806,68.43590579871224,78.78791528853051,0.0182013694299211,0.0771887587736058,15.1512895,3031,30,imitation,30,5.51,474.71,d3031_30_imitation555_30_mono.wav
23,d3031_30_imitation555_31_mono.wav,112.037920068888,570.2705183935062,69.43051289842565,81.0378346450646,0.0166753137963255,0.057677790200392,17.9685083,3031,30,imitation,31,7.4,637.08,d3031_30_imitation555_31_mono.wav
