,Mean Pitch,Max Pitch,Mean Intensity,Max Intensity,Jitter,Shimmer,NHR
4647,4.033604202999062,0.9286324444187365,-0.21567808120276477,-1.1691254761346874,0.8104752176509651,0.35136960894885466,0.38910506620606944
4041,1.7078498488264129,1.319887269934525,-0.03239108578840104,0.03537271292324832,2.953159646839902,1.218004518906969,1.6099539247350851
3435,2.9330987098575063,1.7488755941854035,-0.3688056194642662,0.052439936510471394,1.5026643499156709,0.8698116481874617,0.817775145026823
4849,0.8797230015279424,1.320509989885415,-0.009600539789095055,0.6282958308455082,2.262679849301873,-0.4182701079499686,-0.29067305657689396
4243,2.281236804053547,0.13157549068998453,-0.5826694772058402,0.21363140028174152,1.4743522560480558,3.6680558835060144,1.740369971152607
3637,0.3155103989116367,3.663768528640384,1.9636250649324005,4.4234370870930935,2.7702807138880616,1.7180477528794347,0.614000974201505
3031,0.9703945426722008,2.1200531945581975,-0.11875131704206283,0.27182014828693235,4.89257224324602,1.8904149381599464,2.005344071695751
5051,4.466449784984804,1.5523475625205345,4.971870713038174,3.6451852063817864,1.872393914759987,3.4530553699302193,4.294376452443531
4445,1.1440677309250102,-0.15507471968513845,2.829963322915671,1.9386748383557975,1.8578634583156495,1.0241786797674304,2.3405579589265555
3839,2.3677722234084624,1.734878818707851,0.21250405485812718,0.5024873685127846,0.19280178849162316,-0.2593600546835834,4.008708900750572
