,Mean Pitch,Max Pitch,Mean Intensity,Max Intensity,Jitter,Shimmer,NHR
4647,0.050369871319593515,0.0037466801572882957,0.6335610503720259,0.37437268733846485,0.36469422369579774,0.7926910996274723,0.8446069279147752
4041,0.061255240416916525,0.4130767479242753,0.7524555299528276,0.7426714748084885,4.5874404687590767e-07,0.0021052467139822902,0.05258812322408887
3435,0.0018651656943514743,0.2604639075759103,0.8157643139181918,0.6081717720980204,6.064097346342018e-06,0.09326819454456801,0.2529683466538115
4849,0.18561001538962493,0.93707871282088,0.8854587088555821,0.0833383775966582,0.004358712956992265,0.9592411966710068,0.715770417829285
4243,0.012694134704722054,0.003976682508743868,0.9626440651296548,0.9743974313949016,0.4967225618714546,0.0003261035303327669,0.11519950193943868
3637,0.24279920298943067,0.9471544899853186,0.03079664090102845,5.514207274401585e-08,0.07749972657959868,0.3525702719879287,0.3586405563776832
3031,0.36021282831514356,0.5752340347785235,0.5853385143870582,0.5699185513295528,0.0005087326272107289,2.458667510562164e-05,0.011473537265055775
5051,0.025725755130462245,4.892119064225323e-05,1.01049250033889e-05,1.2778419418173883e-06,0.11244991780151181,0.023832485404291767,0.0003955284215017764
4445,0.12275840186856386,0.9558016196520203,2.1473224335744493e-25,1.0579078583749233e-09,0.004779330159996497,0.7889408330407048,0.005076572511633763
3839,0.5778017630962351,0.007853203347839567,0.9915718675288203,0.674559663861475,0.19996384689874944,0.72923754932285,1.4412438066283594e-05
